Title,Date
"Outlander: Temporada 1: La búsqueda","17/8/18"
"Outlander: Temporada 1: La guardia","17/8/18"
"Vikingos: Temporada 1: La batida","16/8/18"
"Vikingos: Temporada 1: Juicio","16/8/18"
"Vikingos: Temporada 1: Despojados","13/8/18"
"Vikingos: Temporada 1: La ira de los hombres del norte","12/8/18"
"En pocas palabras: Temporada 1: Tatuajes","11/8/18"
"Red vs. Blue: Volumen 1: Volumen 1","11/8/18"
"Viaje al centro de la Tierra 2: La isla misteriosa","11/8/18"
"Outlander: Temporada 1: Lallybroch","9/8/18"
"Troya: La caída de una ciudad: Ofrenda","8/8/18"
"Outlander: Temporada 1: La marca del diablo","8/8/18"
"Outlander: Temporada 1: ¿Un caso de brujería?","6/8/18"
"Outlander: Temporada 1: Ajuste de cuentas","6/8/18"
"Troya: La caída de una ciudad: Doce días","4/8/18"
"Troya: La caída de una ciudad: Batalla en la playa","4/8/18"
"Troya: La caída de una ciudad: Persecución","4/8/18"
"Outlander: Temporada 1: A ambos lados","2/8/18"
"Troya: La caída de una ciudad: Botín de guerra","1/8/18"
"Troya: La caída de una ciudad: Asedio","1/8/18"
"Dark: Temporada 1: Alfa y omega","1/8/18"
"Dark: Temporada 1: Todo ocurre ahora","1/8/18"
"Troya: La caída de una ciudad: Condiciones","31/7/18"
